inst#,actual,predicted,error,prediction
40,8:brown-spot,8:brown-spot,,1
41,12:anthracnose,12:anthracnose,,1
42,4:phytophthora-rot,4:phytophthora-rot,,0.984
43,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.853
44,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.853
45,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
46,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.955
47,4:phytophthora-rot,4:phytophthora-rot,,0.971
48,4:phytophthora-rot,4:phytophthora-rot,,0.96
49,5:brown-stem-rot,5:brown-stem-rot,,1
50,8:brown-spot,8:brown-spot,,1
51,4:phytophthora-rot,4:phytophthora-rot,,0.971
52,13:phyllosticta-leaf-spot,13:phyllosticta-leaf-spot,,1
53,4:phytophthora-rot,4:phytophthora-rot,,0.984
54,7:downy-mildew,7:downy-mildew,,1
55,4:phytophthora-rot,4:phytophthora-rot,,0.984
56,4:phytophthora-rot,4:phytophthora-rot,,0.971
57,4:phytophthora-rot,4:phytophthora-rot,,0.96
58,4:phytophthora-rot,4:phytophthora-rot,,0.984
59,15:frog-eye-leaf-spot,14:alternarialeaf-spot,+,0.737
60,2:charcoal-rot,2:charcoal-rot,,0.92
61,11:purple-seed-stain,11:purple-seed-stain,,0.987
62,12:anthracnose,12:anthracnose,,0.521
63,4:phytophthora-rot,4:phytophthora-rot,,0.971
64,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.955
65,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
66,19:herbicide-injury,19:herbicide-injury,,0.828
67,4:phytophthora-rot,4:phytophthora-rot,,0.984
68,4:phytophthora-rot,4:phytophthora-rot,,0.984
69,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
70,4:phytophthora-rot,4:phytophthora-rot,,0.984
71,11:purple-seed-stain,11:purple-seed-stain,,1
72,5:brown-stem-rot,5:brown-stem-rot,,1
73,18:2-4-d-injury,18:2-4-d-injury,,0.394
74,9:bacterial-blight,9:bacterial-blight,,1
75,15:frog-eye-leaf-spot,14:alternarialeaf-spot,+,0.737
76,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
77,5:brown-stem-rot,5:brown-stem-rot,,1
78,4:phytophthora-rot,4:phytophthora-rot,,0.984
79,5:brown-stem-rot,2:charcoal-rot,+,0.92
80,5:brown-stem-rot,5:brown-stem-rot,,1
81,17:cyst-nematode,17:cyst-nematode,,0.676
82,8:brown-spot,8:brown-spot,,1
83,5:brown-stem-rot,5:brown-stem-rot,,1
84,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
85,5:brown-stem-rot,5:brown-stem-rot,,1
86,7:downy-mildew,7:downy-mildew,,1
87,5:brown-stem-rot,5:brown-stem-rot,,1
88,4:phytophthora-rot,4:phytophthora-rot,,0.984
89,5:brown-stem-rot,5:brown-stem-rot,,1
90,5:brown-stem-rot,5:brown-stem-rot,,1
91,10:bacterial-pustule,10:bacterial-pustule,,1
92,6:powdery-mildew,6:powdery-mildew,,1
93,11:purple-seed-stain,11:purple-seed-stain,,0.987
94,8:brown-spot,8:brown-spot,,0.941
95,8:brown-spot,8:brown-spot,,1
96,13:phyllosticta-leaf-spot,13:phyllosticta-leaf-spot,,1
97,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
98,19:herbicide-injury,16:diaporthe-pod-&-stem-blight,+,1
99,6:powdery-mildew,6:powdery-mildew,,1
100,4:phytophthora-rot,4:phytophthora-rot,,0.96
101,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.737
102,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
103,7:downy-mildew,7:downy-mildew,,1
104,2:charcoal-rot,2:charcoal-rot,,0.92
105,16:diaporthe-pod-&-stem-blight,16:diaporthe-pod-&-stem-blight,,0.925
106,7:downy-mildew,7:downy-mildew,,1
107,4:phytophthora-rot,4:phytophthora-rot,,0.984
108,12:anthracnose,12:anthracnose,,0.85
109,15:frog-eye-leaf-spot,14:alternarialeaf-spot,+,0.737
110,7:downy-mildew,7:downy-mildew,,1
111,3:rhizoctonia-root-rot,3:rhizoctonia-root-rot,,1
112,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.955
113,8:brown-spot,8:brown-spot,,1
114,12:anthracnose,12:anthracnose,,1
115,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
116,8:brown-spot,8:brown-spot,,0.941
117,8:brown-spot,8:brown-spot,,1
118,16:diaporthe-pod-&-stem-blight,16:diaporthe-pod-&-stem-blight,,0.887
119,17:cyst-nematode,17:cyst-nematode,,0.676
120,17:cyst-nematode,17:cyst-nematode,,0.649
121,8:brown-spot,8:brown-spot,,1
122,8:brown-spot,8:brown-spot,,1
123,8:brown-spot,8:brown-spot,,0.941
124,8:brown-spot,8:brown-spot,,1
125,4:phytophthora-rot,4:phytophthora-rot,,0.984
126,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
127,16:diaporthe-pod-&-stem-blight,16:diaporthe-pod-&-stem-blight,,0.887
128,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.955
129,1:diaporthe-stem-canker,1:diaporthe-stem-canker,,0.85
130,8:brown-spot,8:brown-spot,,0.941
131,13:phyllosticta-leaf-spot,13:phyllosticta-leaf-spot,,1
132,10:bacterial-pustule,10:bacterial-pustule,,0.903
133,8:brown-spot,8:brown-spot,,1
134,15:frog-eye-leaf-spot,8:brown-spot,+,1
135,8:brown-spot,8:brown-spot,,0.941
136,17:cyst-nematode,17:cyst-nematode,,0.676
137,8:brown-spot,8:brown-spot,,1
138,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
139,17:cyst-nematode,17:cyst-nematode,,0.676
140,5:brown-stem-rot,5:brown-stem-rot,,1
141,8:brown-spot,8:brown-spot,,1
142,9:bacterial-blight,9:bacterial-blight,,1
143,8:brown-spot,8:brown-spot,,0.5
144,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.853
145,10:bacterial-pustule,10:bacterial-pustule,,1
146,8:brown-spot,8:brown-spot,,1
147,4:phytophthora-rot,4:phytophthora-rot,,0.984
148,8:brown-spot,8:brown-spot,,1
149,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
150,7:downy-mildew,7:downy-mildew,,1
151,9:bacterial-blight,9:bacterial-blight,,1
152,1:diaporthe-stem-canker,1:diaporthe-stem-canker,,0.909
153,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
154,8:brown-spot,8:brown-spot,,1
155,9:bacterial-blight,9:bacterial-blight,,1
156,9:bacterial-blight,9:bacterial-blight,,1
157,15:frog-eye-leaf-spot,14:alternarialeaf-spot,+,0.737
158,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.955
159,9:bacterial-blight,9:bacterial-blight,,1
160,8:brown-spot,8:brown-spot,,1
161,10:bacterial-pustule,17:cyst-nematode,+,1
162,6:powdery-mildew,6:powdery-mildew,,1
163,10:bacterial-pustule,9:bacterial-blight,+,1
164,10:bacterial-pustule,10:bacterial-pustule,,1
165,8:brown-spot,8:brown-spot,,0.941
166,10:bacterial-pustule,10:bacterial-pustule,,1
167,18:2-4-d-injury,18:2-4-d-injury,,0.394
168,8:brown-spot,8:brown-spot,,1
169,16:diaporthe-pod-&-stem-blight,16:diaporthe-pod-&-stem-blight,,0.887
170,10:bacterial-pustule,10:bacterial-pustule,,1
171,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.955
172,6:powdery-mildew,6:powdery-mildew,,1
173,11:purple-seed-stain,11:purple-seed-stain,,0.987
174,15:frog-eye-leaf-spot,14:alternarialeaf-spot,+,0.737
175,17:cyst-nematode,17:cyst-nematode,,0.649
176,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.853
177,11:purple-seed-stain,11:purple-seed-stain,,1
178,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.737
179,11:purple-seed-stain,11:purple-seed-stain,,0.987
180,8:brown-spot,8:brown-spot,,1
181,12:anthracnose,12:anthracnose,,1
182,1:diaporthe-stem-canker,1:diaporthe-stem-canker,,0.909
183,3:rhizoctonia-root-rot,1:diaporthe-stem-canker,+,0.85
184,12:anthracnose,12:anthracnose,,0.85
185,15:frog-eye-leaf-spot,8:brown-spot,+,0.5
186,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.853
187,12:anthracnose,12:anthracnose,,1
188,12:anthracnose,4:phytophthora-rot,+,0.888
189,9:bacterial-blight,9:bacterial-blight,,1
190,4:phytophthora-rot,4:phytophthora-rot,,0.984
191,7:downy-mildew,7:downy-mildew,,1
192,4:phytophthora-rot,4:phytophthora-rot,,0.984
193,12:anthracnose,12:anthracnose,,0.85
194,12:anthracnose,12:anthracnose,,1
195,5:brown-stem-rot,5:brown-stem-rot,,1
196,12:anthracnose,12:anthracnose,,0.85
197,18:2-4-d-injury,18:2-4-d-injury,,0.696
198,12:anthracnose,12:anthracnose,,0.521
199,12:anthracnose,12:anthracnose,,1
200,12:anthracnose,12:anthracnose,,1
201,12:anthracnose,12:anthracnose,,1
202,12:anthracnose,12:anthracnose,,1
203,13:phyllosticta-leaf-spot,13:phyllosticta-leaf-spot,,1
204,6:powdery-mildew,6:powdery-mildew,,1
205,13:phyllosticta-leaf-spot,13:phyllosticta-leaf-spot,,1
206,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.955
207,4:phytophthora-rot,4:phytophthora-rot,,0.984
208,2:charcoal-rot,2:charcoal-rot,,0.92
209,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
210,17:cyst-nematode,17:cyst-nematode,,0.676
211,8:brown-spot,8:brown-spot,,0.5
212,14:alternarialeaf-spot,15:frog-eye-leaf-spot,+,1
213,5:brown-stem-rot,5:brown-stem-rot,,1
214,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
215,6:powdery-mildew,6:powdery-mildew,,1
216,3:rhizoctonia-root-rot,3:rhizoctonia-root-rot,,1
217,4:phytophthora-rot,4:phytophthora-rot,,0.984
218,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.853
219,8:brown-spot,8:brown-spot,,1
220,8:brown-spot,8:brown-spot,,1
221,1:diaporthe-stem-canker,1:diaporthe-stem-canker,,0.85
222,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
223,4:phytophthora-rot,4:phytophthora-rot,,0.984
224,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.853
225,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
226,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
227,5:brown-stem-rot,5:brown-stem-rot,,1
228,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.853
229,15:frog-eye-leaf-spot,13:phyllosticta-leaf-spot,+,1
230,10:bacterial-pustule,10:bacterial-pustule,,0.903
231,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.853
232,5:brown-stem-rot,5:brown-stem-rot,,1
233,8:brown-spot,8:brown-spot,,1
